State,Shelter in place
Alabama,2020-04-04
Alaska,2020-03-28
Arizona,2020-03-31
California,2020-03-19
Colorado,2020-03-26
Connecticut,2020-03-23
Delaware,2020-03-24
District of Columbia,2020-04-01
Florida,2020-04-03
Georgia,
Hawaii,2020-03-25
Idaho,2020-03-25
Illinois,2020-03-21
Indiana,2020-03-24
Kansas,2020-03-30
Kentucky,
Louisiana,2020-03-23
Maine,2020-04-02
Maryland,2020-03-30
Massachusetts,
Michigan,2020-03-27
Mississippi,2020-04-03
Missouri,2020-04-06
Montana,2020-03-28
Nevada,2020-04-01
New Hampshire,2020-03-27
New Jersey,2020-03-21
New Mexico,2020-03-24
North Carolina,2020-03-30
Ohio,2020-03-23
Oklahoma,2020-04-02
Oregon,2020-03-23
Pennsylvania,2020-04-01
Puerto Rico,
Rhode Island,2020-03-28
South Carolina,
Tennessee,2020-03-31
Texas,2020-04-02
Utah,
Vermont,2020-03-25
Virginia,2020-03-30
Washington,2020-03-23
West Virginia,2020-03-24
Wisconsin,2020-03-25
Wyoming,
